"IDCLIENTE","NOMBREUSUARIO","IDMEMBRECIA","IDROL","IDPERSONA","ESTADO","CLAVEUSUARIO"
1,"Bryan",1,1,1,"Activo",1234
2,"Karol",2,2,2,"Inactivo",1234
3,"Esteban",2,2,3,"Activo",1234
4,"Diego",3,3,4,"Inactivo",1234
5,"Luis",1,1,5,"Activo",1234
6,"Bryan",1,1,6,"Activo",1234
7,"Karol",2,2,7,"Inactivo",1234
8,"Esteban",2,2,8,"Activo",1234
9,"Diego",3,3,9,"Inactivo",1234
10,"Luis",1,1,10,"Activo",1234
11,"Bryan",1,1,11,"Activo",1234
12,"Karol",2,2,12,"Inactivo",1234
13,"Esteban",2,2,13,"Activo",1234
14,"Diego",3,3,14,"Inactivo",1234
15,"Luis",1,1,15,"Activo",1234
16,"Bryan",1,1,16,"Activo",1234
17,"Karol",2,2,17,"Inactivo",1234
18,"Esteban",2,2,18,"Activo",1234
19,"Diego",3,3,19,"Inactivo",1234
20,"Luis",1,1,20,"Activo",1234
21,"Bryan",1,1,21,"Activo",1234
22,"Karol",2,2,22,"Inactivo",1234
23,"Esteban",2,2,23,"Activo",1234
24,"Diego",3,3,24,"Inactivo",1234
25,"Luis",1,1,25,"Activo",1234
26,"Bryan",1,1,26,"Activo",1234
27,"Karol",2,2,27,"Inactivo",1234
28,"Esteban",2,2,28,"Activo",1234
29,"Diego",3,3,29,"Inactivo",1234
30,"Luis",1,1,30,"Activo",1234
31,"Bryan",1,1,31,"Activo",1234
32,"Karol",2,2,32,"Inactivo",1234
33,"Esteban",2,2,33,"Activo",1234
34,"Diego",1,1,34,"Inactivo",1234
35,"Luis",2,2,35,"Activo",1234
36,"Bryan",2,2,36,"Activo",1234
37,"Karol",3,3,37,"Inactivo",1234
38,"Esteban",1,1,38,"Activo",1234
39,"Diego",1,1,39,"Inactivo",1234
40,"Luis",2,2,40,"Activo",1234
41,"Bryan",2,2,41,"Activo",1234
42,"Karol",3,3,42,"Inactivo",1234
43,"Esteban",1,1,43,"Activo",1234
44,"Diego",1,1,44,"Inactivo",1234
45,"Luis",2,2,45,"Activo",1234
46,"Bryan",2,2,46,"Activo",1234
47,"Karol",3,3,47,"Inactivo",1234
48,"Esteban",1,1,48,"Activo",1234
49,"Diego",1,1,49,"Inactivo",1234
50,"Luis",2,2,50,"Activo",1234
51,"Bryan",2,2,51,"Activo",1234
52,"Karol",3,3,52,"Inactivo",1234
53,"Esteban",1,1,53,"Activo",1234
54,"Diego",2,2,54,"Inactivo",1234
55,"Luis",2,2,55,"Activo",1234
56,"Bryan",3,3,56,"Activo",1234
57,"Karol",1,1,57,"Inactivo",1234
58,"Esteban",1,1,58,"Activo",1234
59,"Diego",2,2,59,"Inactivo",1234
60,"Luis",2,2,60,"Activo",1234
61,"Bryan",3,3,61,"Activo",1234
62,"Karol",1,1,62,"Inactivo",1234
63,"Esteban",1,1,63,"Activo",1234
64,"Diego",2,2,64,"Inactivo",1234
65,"Luis",2,2,65,"Activo",1234
66,"Bryan",3,3,66,"Activo",1234
67,"Karol",1,1,67,"Inactivo",1234
68,"Esteban",1,1,68,"Activo",1234
69,"Diego",2,2,69,"Inactivo",1234
70,"Luis",2,2,70,"Activo",1234
71,"Bryan",3,3,71,"Activo",1234
72,"Karol",1,1,72,"Inactivo",1234
73,"Esteban",2,2,73,"Activo",1234
74,"Diego",2,2,74,"Inactivo",1234
75,"Luis",3,3,75,"Activo",1234
76,"Bryan",1,1,76,"Activo",1234
77,"Karol",1,1,77,"Inactivo",1234
78,"Esteban",2,2,78,"Activo",1234
79,"Diego",2,2,79,"Inactivo",1234
80,"Luis",3,3,80,"Activo",1234
81,"Bryan",1,1,81,"Activo",1234
82,"Karol",1,1,82,"Inactivo",1234
83,"Esteban",2,2,83,"Activo",1234
84,"Diego",2,2,84,"Inactivo",1234
85,"Luis",3,3,85,"Activo",1234
86,"Bryan",1,1,86,"Activo",1234
87,"Karol",1,1,87,"Inactivo",1234
88,"Esteban",1,1,88,"Activo",1234
89,"Diego",2,2,89,"Inactivo",1234
90,"Luis",2,2,90,"Activo",1234
91,"Bryan",3,3,91,"Activo",1234
92,"Karol",1,1,92,"Inactivo",1234
93,"Esteban",1,1,93,"Activo",1234
94,"Diego",2,2,94,"Inactivo",1234
95,"Luis",2,2,95,"Activo",1234
96,"Bryan",3,3,96,"Activo",1234
97,"Karol",1,1,97,"Inactivo",1234
98,"Esteban",1,1,98,"Activo",1234
99,"Diego",2,2,99,"Inactivo",1234
100,"Luis",2,2,100,"Activo",1234
101,"Bryan",3,3,101,"Activo",1234
102,"Karol",1,1,102,"Inactivo",1234
103,"Esteban",1,1,103,"Activo",1234
104,"Diego",2,2,104,"Inactivo",1234
105,"Luis",2,2,105,"Activo",1234
106,"Bryan",3,3,106,"Activo",1234
107,"Karol",1,1,107,"Inactivo",1234
108,"Esteban",1,1,108,"Activo",1234
109,"Diego",2,2,109,"Inactivo",1234
110,"Luis",2,2,110,"Activo",1234
111,"Bryan",3,3,111,"Activo",1234
112,"Karol",1,1,112,"Inactivo",1234
113,"Esteban",1,1,113,"Activo",1234
114,"Diego",2,2,114,"Inactivo",1234
115,"Luis",2,2,115,"Activo",1234
116,"Bryan",3,3,116,"Activo",1234
117,"Karol",1,1,117,"Inactivo",1234
118,"Esteban",1,1,118,"Activo",1234
119,"Diego",2,2,119,"Inactivo",1234
120,"Luis",2,2,120,"Activo",1234
121,"Bryan",3,3,121,"Activo",1234
122,"Karol",1,1,122,"Inactivo",1234
123,"Esteban",1,1,123,"Activo",1234
124,"Diego",2,2,124,"Inactivo",1234
125,"Luis",2,2,125,"Activo",1234
126,"Bryan",3,3,126,"Activo",1234
127,"Karol",1,1,127,"Inactivo",1234
128,"Esteban",1,1,128,"Activo",1234
129,"Diego",2,2,129,"Inactivo",1234
130,"Luis",2,2,130,"Activo",1234
131,"Bryan",3,3,131,"Activo",1234
132,"Karol",1,1,132,"Inactivo",1234
133,"Esteban",1,1,133,"Activo",1234
134,"Diego",2,2,134,"Inactivo",1234
135,"Luis",2,2,135,"Activo",1234
136,"Bryan",3,3,136,"Activo",1234
137,"Karol",1,1,137,"Inactivo",1234
138,"Esteban",1,1,138,"Activo",1234
139,"Diego",2,2,139,"Inactivo",1234
140,"Luis",2,2,140,"Activo",1234
141,"Bryan",1,1,141,"Activo",1234
142,"Karol",2,2,142,"Inactivo",1234
143,"Esteban",2,2,143,"Activo",1234
144,"Diego",3,3,144,"Inactivo",1234
145,"Luis",1,1,145,"Activo",1234
146,"Bryan",1,1,146,"Activo",1234
147,"Karol",2,2,147,"Inactivo",1234
148,"Esteban",2,2,148,"Activo",1234
149,"Diego",3,3,149,"Inactivo",1234
150,"Luis",1,1,150,"Activo",1234
151,"Bryan",1,1,151,"Activo",1234
152,"Karol",2,2,152,"Inactivo",1234
153,"Esteban",2,2,153,"Activo",1234
154,"Diego",3,3,154,"Inactivo",1234
155,"Luis",1,1,155,"Activo",1234
156,"Bryan",1,1,156,"Activo",1234
157,"Karol",2,2,157,"Inactivo",1234
158,"Esteban",2,2,158,"Activo",1234
159,"Diego",3,3,159,"Inactivo",1234
160,"Luis",1,1,160,"Activo",1234
161,"Bryan",2,2,161,"Activo",1234
162,"Karol",2,2,162,"Inactivo",1234
163,"Esteban",3,3,163,"Activo",1234
164,"Diego",1,1,164,"Inactivo",1234
165,"Luis",1,1,165,"Activo",1234
166,"Bryan",2,2,166,"Activo",1234
167,"Karol",2,2,167,"Inactivo",1234
168,"Esteban",3,3,168,"Activo",1234
169,"Diego",1,1,169,"Inactivo",1234
170,"Luis",1,1,170,"Activo",1234
171,"Bryan",2,2,171,"Activo",1234
172,"Karol",2,2,172,"Inactivo",1234
173,"Esteban",3,3,173,"Activo",1234
174,"Diego",1,1,174,"Inactivo",1234
175,"Luis",1,1,175,"Activo",1234
176,"Bryan",2,2,176,"Activo",1234
177,"Karol",2,2,177,"Inactivo",1234
178,"Esteban",3,3,178,"Activo",1234
179,"Diego",1,1,179,"Inactivo",1234
180,"Luis",2,2,180,"Activo",1234
181,"Bryan",2,2,181,"Activo",1234
182,"Karol",3,3,182,"Inactivo",1234
183,"Esteban",1,1,183,"Activo",1234
184,"Diego",1,1,184,"Inactivo",1234
185,"Luis",2,2,185,"Activo",1234
186,"Bryan",2,2,186,"Activo",1234
187,"Karol",3,3,187,"Inactivo",1234
188,"Esteban",1,1,188,"Activo",1234
189,"Diego",1,1,189,"Inactivo",1234
190,"Luis",2,2,190,"Activo",1234
191,"Bryan",2,2,191,"Activo",1234
192,"Karol",3,3,192,"Inactivo",1234
193,"Esteban",1,1,193,"Activo",1234
194,"Diego",1,1,194,"Inactivo",1234
195,"Luis",1,1,195,"Activo",1234
196,"Bryan",2,2,196,"Activo",1234
197,"Karol",2,2,197,"Inactivo",1234
198,"Esteban",3,3,198,"Activo",1234
199,"Diego",1,1,199,"Inactivo",1234
200,"Luis",1,1,200,"Activo",1234
201,"Bryan",2,2,201,"Activo",1234
202,"Karol",2,2,202,"Inactivo",1234
203,"Esteban",3,3,203,"Activo",1234
204,"Diego",1,1,204,"Inactivo",1234
205,"Luis",1,1,205,"Activo",1234
206,"Bryan",2,2,206,"Activo",1234
207,"Karol",2,2,207,"Inactivo",1234
208,"Esteban",3,3,208,"Activo",1234
209,"Diego",1,1,209,"Inactivo",1234
210,"Luis",1,1,210,"Activo",1234
211,"Bryan",2,2,211,"Activo",1234
212,"Karol",2,2,212,"Inactivo",1234
213,"Esteban",3,3,213,"Activo",1234
214,"Diego",1,1,214,"Inactivo",1234
215,"Luis",2,2,215,"Activo",1234
216,"Bryan",2,2,216,"Activo",1234
217,"Karol",3,3,217,"Inactivo",1234
218,"Esteban",1,1,218,"Activo",1234
219,"Diego",1,1,219,"Inactivo",1234
220,"Luis",2,2,220,"Activo",1234
221,"Bryan",2,2,221,"Activo",1234
222,"Karol",3,3,222,"Inactivo",1234
223,"Esteban",1,1,223,"Activo",1234
224,"Diego",1,1,224,"Inactivo",1234
225,"Luis",2,2,225,"Activo",1234
226,"Bryan",2,2,226,"Activo",1234
227,"Karol",3,3,227,"Inactivo",1234
228,"Esteban",1,1,228,"Activo",1234
229,"Diego",1,1,229,"Inactivo",1234
230,"Luis",2,2,230,"Activo",1234
231,"Bryan",2,2,231,"Activo",1234
232,"Karol",3,3,232,"Inactivo",1234
233,"Esteban",1,1,233,"Activo",1234
234,"Diego",1,1,234,"Inactivo",1234
235,"Luis",2,2,235,"Activo",1234
236,"Bryan",2,2,236,"Activo",1234
237,"Karol",3,3,237,"Inactivo",1234
238,"Esteban",1,1,238,"Activo",1234
239,"Diego",1,1,239,"Inactivo",1234
240,"Luis",2,2,240,"Activo",1234
241,"Bryan",2,2,241,"Activo",1234
242,"Karol",3,3,242,"Inactivo",1234
243,"Esteban",1,1,243,"Activo",1234
244,"Diego",1,1,244,"Inactivo",1234
245,"Luis",2,2,245,"Activo",1234
246,"Bryan",2,2,246,"Activo",1234
